trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-63.749633179619714,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-66.07247521407571,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",35,0,-257.60805045228466,"{0: 21, 1: 2, 2: 5, 3: 3, 4: 4}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-109.91690002932259,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-24.878019864773563,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",35,0,-104.80085816179667,"{0: 22, 1: 5, 2: 6, 3: 2, 4: 0}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-137.5399195237476,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-117.10682310330158,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,5,-64.77644431824278,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-69.01044626830563,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,12,-30.904831398426772,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-61.45156563134566,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-50.8088503112431,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-55.12723366156974,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-57.8751805073174,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,2.8101063123210195,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",35,20,-120.13758005073522,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 3}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,16.719621980540314,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-27.20882528310254,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,0,7.464879394231335,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'e': -0.05000000000000032, 'a': 0.5}",20,0,-37.90867315959524,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'e': -0.10000000000000032, 'a': 0.5}",20,0,20.57918863936912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': -0.15000000000000033, 'a': 0.5}",20,13,11.288391130602475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': -0.20000000000000034, 'a': 0.5}",20,3,18.01688507530254,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': -0.25000000000000033, 'a': 0.5}",30,0,-153.56410032535126,"{0: 23, 1: 0, 2: 2, 3: 2, 4: 3}",0
7,True,"{'e': -0.3000000000000003, 'a': 0.5}",20,0,21.530330318525184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': -0.3500000000000003, 'a': 0.5}",25,0,-28.41932310365515,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'e': -0.4000000000000003, 'a': 0.5}",30,7,-33.427315954369355,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,True,"{'e': -0.4500000000000003, 'a': 0.5}",20,13,13.02962450583004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
