trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.01}",20,0,-65.05382952315469,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,False,"{'e': 0.9900498337491681, 'a': 0.01}",20,0,-64.96247639764127,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'e': 0.9801986733067553, 'a': 0.01}",20,4,-99.6992918949731,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 2}",1
4,False,"{'e': 0.9704455335485082, 'a': 0.01}",30,0,-159.52443577613144,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
5,False,"{'e': 0.9607894391523232, 'a': 0.01}",20,8,-81.70757627509485,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 1}",1
6,False,"{'e': 0.951229424500714, 'a': 0.01}",30,3,-116.89347654406268,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 1}",1
7,False,"{'e': 0.9417645335842487, 'a': 0.01}",30,0,-164.27571905870633,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
8,False,"{'e': 0.9323938199059483, 'a': 0.01}",25,0,-94.4831733794258,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,False,"{'e': 0.9231163463866358, 'a': 0.01}",25,0,-133.2788608410836,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
10,False,"{'e': 0.9139311852712282, 'a': 0.01}",25,12,-55.46954152883567,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
11,False,"{'e': 0.9048374180359595, 'a': 0.01}",20,0,-158.57673443930082,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'e': 0.8958341352965282, 'a': 0.01}",30,0,-162.07980315405192,"{0: 16, 1: 5, 2: 3, 3: 6, 4: 0}",0
13,False,"{'e': 0.8869204367171575, 'a': 0.01}",30,0,-191.35438431199682,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
14,False,"{'e': 0.8780954309205613, 'a': 0.01}",20,0,-125.01146673112073,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
15,False,"{'e': 0.8693582353988059, 'a': 0.01}",30,3,-154.73673879346143,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 2}",1
16,False,"{'e': 0.8607079764250578, 'a': 0.01}",30,1,-142.18854677940317,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 2}",1
17,False,"{'e': 0.8521437889662113, 'a': 0.01}",20,0,-53.80808857100192,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
18,False,"{'e': 0.8436648165963837, 'a': 0.01}",20,0,-131.20412397165333,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
19,False,"{'e': 0.835270211411272, 'a': 0.01}",30,0,-68.18420327727816,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'e': 0.8269591339433623, 'a': 0.01}",20,0,-73.9567558624174,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'e': 0.8187307530779818, 'a': 0.01}",25,0,-200.34134578584283,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
22,False,"{'e': 0.8105842459701871, 'a': 0.01}",20,0,-100.50928471605961,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
23,False,"{'e': 0.8025187979624785, 'a': 0.01}",25,0,-74.39041818162725,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
24,False,"{'e': 0.794533602503334, 'a': 0.01}",20,0,-39.243636595903126,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
25,False,"{'e': 0.7866278610665535, 'a': 0.01}",20,3,-130.1977584226486,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
26,False,"{'e': 0.7788007830714049, 'a': 0.01}",20,0,-103.33955165339299,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
27,False,"{'e': 0.7710515858035663, 'a': 0.01}",25,7,8.359089234775059,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
28,False,"{'e': 0.7633794943368531, 'a': 0.01}",30,0,-171.833197175386,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
29,False,"{'e': 0.7557837414557255, 'a': 0.01}",25,6,-53.88326093845552,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 1}",1
30,False,"{'e': 0.7482635675785653, 'a': 0.01}",20,0,-53.471380062240186,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
31,False,"{'e': 0.7408182206817179, 'a': 0.01}",25,2,-169.61265556885283,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 4}",1
32,False,"{'e': 0.7334469562242892, 'a': 0.01}",20,0,-43.92388742202781,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
33,False,"{'e': 0.7261490370736909, 'a': 0.01}",30,0,-173.86486325502082,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
34,False,"{'e': 0.7189237334319262, 'a': 0.01}",25,0,-160.42798176920635,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
35,False,"{'e': 0.7117703227626097, 'a': 0.01}",20,0,-41.41823272587266,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
36,False,"{'e': 0.7046880897187134, 'a': 0.01}",30,4,-70.16777175760592,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 1}",1
37,False,"{'e': 0.697676326071031, 'a': 0.01}",20,0,-29.326871442817794,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
38,False,"{'e': 0.6907343306373547, 'a': 0.01}",25,0,-134.1054784790621,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
39,False,"{'e': 0.6838614092123558, 'a': 0.01}",25,0,-68.1520402961938,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
40,False,"{'e': 0.6770568744981647, 'a': 0.01}",25,5,-2.6652017163220103,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
41,False,"{'e': 0.6703200460356393, 'a': 0.01}",25,0,-87.91869649595975,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
42,False,"{'e': 0.6636502501363194, 'a': 0.01}",30,0,-217.46106604128067,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
43,False,"{'e': 0.6570468198150567, 'a': 0.01}",25,0,-115.4081911754959,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
44,False,"{'e': 0.6505090947233165, 'a': 0.01}",20,0,-82.92517396806633,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
45,False,"{'e': 0.6440364210831414, 'a': 0.01}",35,0,-145.9579230111627,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
46,False,"{'e': 0.6376281516217733, 'a': 0.01}",20,7,-82.29892883233447,"{0: 6, 1: 4, 2: 1, 3: 1, 4: 1}",1
47,False,"{'e': 0.631283645506926, 'a': 0.01}",20,0,-35.1321640234233,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
48,False,"{'e': 0.6250022682827008, 'a': 0.01}",20,0,-93.35834816033659,"{0: 10, 1: 5, 2: 2, 3: 3, 4: 0}",0
49,False,"{'e': 0.6187833918061408, 'a': 0.01}",20,7,11.394967373480725,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'e': 0.6126263941844161, 'a': 0.01}",35,7,-87.89088581103334,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 2}",1
51,False,"{'e': 0.6065306597126334, 'a': 0.01}",25,14,1.227472026829789,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'e': 0.6004955788122659, 'a': 0.01}",20,0,-12.551424790628994,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
53,False,"{'e': 0.5945205479701944, 'a': 0.01}",20,0,-59.21407588076545,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
54,False,"{'e': 0.5886049696783552, 'a': 0.01}",20,0,-86.8813553720277,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
55,False,"{'e': 0.5827482523739896, 'a': 0.01}",20,0,-86.25838958010281,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
56,False,"{'e': 0.5769498103804866, 'a': 0.01}",30,18,-18.999596633611176,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
57,False,"{'e': 0.5712090638488149, 'a': 0.01}",20,0,-13.2133200249942,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
58,False,"{'e': 0.5655254386995371, 'a': 0.01}",25,15,-36.80115581795867,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'e': 0.559898366565402, 'a': 0.01}",20,0,-163.98069774977313,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
60,False,"{'e': 0.5543272847345071, 'a': 0.01}",30,0,-135.7755730688263,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
61,False,"{'e': 0.5488116360940265, 'a': 0.01}",20,0,-59.93285956925545,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
62,False,"{'e': 0.5433508690744998, 'a': 0.01}",25,16,-40.3199290535338,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
63,False,"{'e': 0.5379444375946745, 'a': 0.01}",25,0,-200.05523348433707,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
64,False,"{'e': 0.5325918010068972, 'a': 0.01}",20,0,-81.33629513048223,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
