trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-182.76628644125918,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-123.66700334399431,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-126.95775038101799,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-156.3374757978462,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,0,-110.53527234388068,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-210.82854925319805,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-136.42010698160402,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-225.52946102455533,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-119.30073969883618,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-63.15691794798516,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-139.0606491685256,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-127.33767535253898,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-116.39595302858737,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-59.200342083036425,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-92.77558779087056,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-72.09424893574347,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-98.37307303083178,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,9,-113.44241527089487,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
19,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-41.82217872822187,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-89.17241907057439,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-117.81511304413142,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,2,-74.12487777499366,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-43.163037485639485,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-144.56072043756828,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,16,-4.09988857452685,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-12.044715297222805,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-97.46287736726521,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-123.60335170306686,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-171.3513528865579,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-102.09912770634573,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,0,-69.45791589593604,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,1,-54.55455546508496,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-109.31714918598949,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
